NO.	Name
412	RPSE
413	RPSJ
414	RPSL
415	YFCC
416	GABD
417	GABT
418	GALF
419	GALU
420	RFBB
421	GALS
422	HUPA
423	MGLA
424	HNS
425	GAPA
426	GCL
427	ILVB
428	ILVD
429	YAGF
430	GLF
431	GLGA
432	GLGB
433	GLGC
434	GLGP
435	GLGX
436	RPLM
437	GLMU
438	PSTS
439	GLNA
440	GLNQ
441	YHDX
442	HISP
443	PHNC
444	YHDZ
445	GLTL
446	YECC
447	GLYQ
448	GLYS
449	GYRA
450	GMHB
451	LPCA
452	GMK
453	PYRE
454	GPH
455	TRPS
456	GPPA
457	PPK
458	GPT
459	PROA
460	GREA
461	YHBC
462	ILVI
463	METE
464	METK
465	MIND
466	NUSG
467	PSTB
468	RPLI
469	RPLL
470	RPOZ
471	TDH
472	THID
473	THIG
474	THIH
475	YBBL
476	YJEE
477	GRXB
478	PYRC
479	GSPE
480	GSPF
481	YGGR
482	GUAA
483	GUAB
484	PURL
485	XSEA
486	NRDA
487	OMPC
488	UBIG
489	HDEA
490	HDEB
491	HEMA
492	HEMB
493	HEML
494	PRFA
495	HEME
496	NFI
497	HEMK
498	HFLC
499	HFLX
500	MIAA
501	HIMD
502	HISB
503	HISD
504	HISF
505	HISG
506	HISH
507	HISI
508	ILVC
509	HLPA
510	OMPA
511	HPT
512	TILS
513	ISCR
514	HSDM
515	HSDR
516	HSDS
517	HSLV
518	XERC
519	HYAA
520	HYAB
521	HYBC
522	HYBO
523	HYAE
524	HYAF
525	HYFI
526	NUOC
527	NUOI
528	HYPB
529	HYPC
530	HYPF
531	ICDA
532	LEUB
533	LEUC
534	IDND
535	IDNO
536	ILES
537	LSPA
538	ILVE
539	ILVH
540	LEUD
541	ILVM
542	IMP
543	INFB
544	INFC
545	NLPI
546	RPSO
547	RPLT
548	RPMI
549	RPSK
550	RPSS
551	ISPD
552	ISPF
553	KBL
554	KDPA
555	KDPB
556	KDPC
557	KDPD
558	KDSB
559	LPXK
560	MSBA
561	KEFB
562	NADB
563	YBHJ
564	LIGA
565	LIVF
566	LIVG
567	LIVM
568	YHBG
569	LIVH
570	LIVJ
571	LIVK
572	UGPA
573	LOLA
574	LPP
575	LRP
576	LYSS
577	PRFB
578	MACA
579	MACB
580	MALY
581	MBHA
582	MCRB
583	MCRC
584	MDH
585	METG
586	METI
587	METN
588	METQ
589	NLPA
590	SERA
591	TKTA
592	MGLB
593	MINE
594	MOAC
595	MOAD
596	MOAE
597	MOEA
598	MOAB
599	MODA
600	MOEB
601	MOBA
602	MOBB
603	MOGA
604	MODE
605	MODF
606	YRFE
607	YRFF
608	YHDA
609	MSRA
610	YEAA
611	SMTA
612	MUTM
613	RPMG
614	MUTT
615	NANA
616	NANT
617	NAPA
618	NAPB
619	NAPD
620	TORC
621	NAPG
622	NAPH
623	NLPD
624	RPOS
625	SURE
626	NRDB
627	NRDE
628	NRDF
629	NTH
630	RNFB
631	NUOB
632	NUOL
633	NUOG
634	NUOM
635	NUON
636	NUSB
637	RHO
638	RPLB
639	RPLP
640	RPLQ
641	RPSC
642	RPSH
643	SECE
644	PABA
645	PABB
646	TRPD
647	TRPE
648	TRPA
649	TOLA
650	PANB
651	PANC
652	PAND
653	PCNB
654	PDXB
655	PDXH
656	TYRS
657	PEPD
658	PEPN
659	PYRD
660	PEPQ
661	YIGZ
662	PYKA
663	PYKF
664	PFLA
665	PFLD
666	YFID
667	PGSA
668	TYRA
669	PHNA
670	PHNB
671	PHOU
672	PSTA
673	PURB
674	PSTC
675	PIOO
676	PLDA
677	PLDB
678	POTA
679	POTD
680	POTC
681	PQIA
682	PQIB
683	YEBT
684	YEBS
685	RPSQ
686	RPSR
687	PRFC
688	PRIA
689	RUVA
690	PRIB
691	RPLN
692	RPSI
693	PROB
694	THRC
695	PSPF
696	PSSA
697	PTSN
698	TRMU
699	YCFC
700	PURE
701	PURK
702	PURM
703	PURD
704	PURH
705	PURN
706	PURT
707	PURU
708	YDHB
709	SOLA
710	UUP
711	RPH
712	RPMB
713	SPOT
714	QUEA
715	RUVB
716	SECD
717	SECF
718	TGT
719	YAJC
720	SMS
721	UVRA
722	RECJ
723	TRMH
724	XERD
725	YBAB
726	RFAB
727	RFAS
728	RFBA
729	RFBC
730	RFBD
731	RFFG
732	RFFH
733	RHAS
734	TRXA
735	RHTB
736	RHTC
737	RIBA
738	RIBB
739	RIBD
740	RIBH
741	RIMM
742	RNG
743	RPSU
744	RNR
745	RNT
746	SBCB
747	RPLJ
748	RPLR
749	SELB
750	RPLO
751	RPSN
752	RPLX
753	YRAN
754	RPMC
755	RPMD
756	YGAA
757	SPEA
758	SBCC
759	SBCD
760	SDAA
761	SDAB
762	SDAC
763	SELA
764	SPEB
765	YHBZ
766	SSPA
767	SUCA
768	SUCC
769	SUFB
770	SUFS
771	TATA
772	TATB
773	TATC
774	THIC
775	THIE
776	THIF
777	THRB
778	TKTB
779	TOLR
780	TORS
781	TORT
782	UBID
783	UGPC
784	YCBY
785	WECB
786	WECC
787	WZA
788	WZC
789	XYLF
790	XYLG
791	YCHN
792	YBBN
793	YJJK
794	YBEZ
795	YBGJ
796	YBGK
797	YBGL
798	YCGB
799	YEAH
800	YDIR
801	YDIS
802	YGDP
803	YKGE
804	YKGF
