Entry	Gene names  (primary )	Entry name	Gene ontology IDs	Organism	Gene names
P0CD93	ymjD	YMJD_ECOLI		Escherichia coli (strain K12)	ymjD b4673 JW5960.1
C1P5Z9	ymiB	YMIB_ECOLI	GO:0016021	Escherichia coli (strain K12)	ymiB b4672 JW1278.1
P0CB62	ymiA	YMIA_ECOLI	GO:0016021	Escherichia coli (strain K12)	ymiA b4522 JW1267.1
P77658	ynaA	YNAA_ECOLI		Escherichia coli (strain K12)	ynaA b1368 JW1361
P0AEB5	ynaI	YNAI_ECOLI	GO:0016021; GO:0006811; GO:0005886; GO:0055085	Escherichia coli (strain K12)	ynaI b1330 JW1323
P76068	ynaK	YNAK_ECOLI		Escherichia coli (strain K12)	ynaK b1365 JW1359
P76073	ynaE	YNAE_ECOLI		Escherichia coli (strain K12)	ynaE b1375 JW1369
P64445	ynaJ	YNAJ_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	ynaJ b1332 JW1326
P76090	ynbA	YNBA_ECOLI	GO:0016021; GO:0008654; GO:0016780; GO:0005886	Escherichia coli (strain K12)	ynbA b1408 JW1405
P76091	ynbB	YNBB_ECOLI	GO:0016024; GO:0016021; GO:0016020; GO:0009273; GO:0004605; GO:0006655; GO:0005886	Escherichia coli (strain K12)	ynbB b1409 JW1406
P76093	ynbD	YNBD_ECOLI	GO:0005887; GO:0005886; GO:0006470; GO:0004725; GO:0008138	Escherichia coli (strain K12)	ynbD b1411 JW1408
C1P600	ynbG	YNBG_ECOLI		Escherichia coli (strain K12)	ynbG b4674 JW1395.1
P76092	ynbC	YNBC_ECOLI	GO:0016298; GO:0006629; GO:0016020	Escherichia coli (strain K12)	ynbC b1410 JW1407
P64448	ynbE	YNBE_ECOLI		Escherichia coli (strain K12)	ynbE b1382 JW1377
P76115	yncD	YNCD_ECOLI	GO:0009279; GO:0016021; GO:0005506; GO:0004872; GO:0015891	Escherichia coli (strain K12)	yncD b1451 JW1446
P76116	yncE	YNCE_ECOLI	GO:0003677; GO:0030288	Escherichia coli (strain K12)	yncE b1452 JW1447
P76117	yncG	YNCG_ECOLI	GO:0005737; GO:0006749; GO:0004364	Escherichia coli (strain K12)	yncG b1454 JW1449
P76118	yncH	YNCH_ECOLI		Escherichia coli (strain K12)	yncH b1455 JW5235
P76119	yncI	YNCI_ECOLI	GO:0003677; GO:0004803; GO:0006313	Escherichia coli (strain K12)	yncI yncM b1459 JW1453/JW5237 b1458
P64459	yncJ	YNCJ_ECOLI		Escherichia coli (strain K12)	yncJ b1436 JW1432
A5A615	yncL	YNCL_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yncL b4598 JW1439.1
P76146	yneE	YNEE_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yneE b1520 JW5245
P76148	yneG	YNEG_ECOLI		Escherichia coli (strain K12)	yneG b1523 JW1516
P77309	yneJ	YNEJ_ECOLI	GO:0003677; GO:0003700; GO:0006351	Escherichia coli (strain K12)	yneJ b1526 JW1519
P76150	yneK	YNEK_ECOLI		Escherichia coli (strain K12)	yneK b1527 JW1520
A5A616	yneM	YNEM_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yneM b4599 JW1527.1
P76138	yneL	YNEL_ECOLI	GO:0043565; GO:0003700; GO:0006351	Escherichia coli (strain K12)	yneL b1506 JW5244
P76147	yneF	YNEF_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yneF b1522 JW5825
B1XF47	ynfA	YNFA_ECODH	GO:0016021; GO:0005886	Escherichia coli (strain K12 / DH10B)	ynfA ECDH10B_1715
C4ZWZ4	ynfA	YNFA_ECOBW	GO:0016021; GO:0005886	Escherichia coli (strain K12 / MC4100 / BW2952)	ynfA BWG_1396
C4ZWZ5	ynfB	YNFB_ECOBW		Escherichia coli (strain K12 / MC4100 / BW2952)	ynfB BWG_1397
P76169	ynfA	YNFA_ECOLI	GO:0005887; GO:0005886	Escherichia coli (strain K12)	ynfA b1582 JW1574
P76170	ynfB	YNFB_ECOLI	GO:0009279	Escherichia coli (strain K12)	ynfB b1583 JW1575
B1XF48	ynfB	YNFB_ECODH		Escherichia coli (strain K12 / DH10B)	ynfB ECDH10B_1716
C4ZWZ7	ynfC	YNFC_ECOBW	GO:0005886	Escherichia coli (strain K12 / MC4100 / BW2952)	ynfC BWG_1399
B1XF50	ynfC	YNFC_ECODH	GO:0005886	Escherichia coli (strain K12 / DH10B)	ynfC ECDH10B_1718
P67553	ynfC	YNFC_ECOLI	GO:0005886	Escherichia coli (strain K12)	ynfC b1585 JW5258
P76172	ynfD	YNFD_ECOLI		Escherichia coli (strain K12)	ynfD b1586 JW5259
P77783	ynfF	YNFF_ECOLI	GO:0051539; GO:0003954; GO:0009061; GO:0009389; GO:0009055; GO:0051536; GO:0030151; GO:0030288; GO:0005886; GO:0033797	Escherichia coli (strain K12)	ynfF b1588 JW5260
P77374	ynfE	YNFE_ECOLI	GO:0051539; GO:0003954; GO:0009061; GO:0009389; GO:0009055; GO:0051536; GO:0030151; GO:0030288; GO:0005886; GO:0033797	Escherichia coli (strain K12)	ynfE b1587 JW1579
P0AAJ1	ynfG	YNFG_ECOLI	GO:0051539; GO:0009061; GO:0009055; GO:0016020; GO:0046872; GO:0016491	Escherichia coli (strain K12)	ynfG b1589 JW1581
