Entry	Gene names  (primary )	Entry name	Gene ontology IDs	Organism	Gene names
P05100	tag	3MG1_ECOLI	GO:0008725; GO:0006284; GO:0046872	Escherichia coli (strain K12)	tag b3549 JW3518
P04395	alkA	3MG2_ECOLI	GO:0006307; GO:0006281; GO:0008725; GO:0052822; GO:0052821; GO:0043916; GO:0003905; GO:0006284; GO:0006974; GO:0005737	Escherichia coli (strain K12)	alkA aidA b2068 JW2053
P30871	ygiF	3PASE_ECOLI	GO:0050355	Escherichia coli (strain K12)	ygiF b3054 JW3026
C4ZVI4	yfbR	5DNU_ECOBW	GO:0005737; GO:0046872; GO:0000166; GO:0016791	Escherichia coli (strain K12 / MC4100 / BW2952)	yfbR BWG_2065
B1X903	yfbR	5DNU_ECODH	GO:0005737; GO:0046872; GO:0000166; GO:0016791	Escherichia coli (strain K12 / DH10B)	yfbR ECDH10B_2453
P76491	yfbR	5DNU_ECOLI	GO:0050897; GO:0005737; GO:0006226; GO:0016311; GO:0042802; GO:0008252; GO:0000166; GO:0010139	Escherichia coli (strain K12)	yfbR b2291 JW2288
P0AC28	ygfA	5FCL_ECOLI	GO:0030272; GO:0005524; GO:0022611; GO:0009396; GO:0035999	Escherichia coli (strain K12)	ygfA b2912 JW2879
P00350	gnd	6PGD_ECOLI	GO:0019521; GO:0050661; GO:0005829; GO:0042802; GO:0006098; GO:0004616; GO:0042803	Escherichia coli (strain K12)	gnd b2029 JW2011
B1X797	pgl	6PGL_ECODH	GO:0017057; GO:0006006; GO:0006098	Escherichia coli (strain K12 / DH10B)	pgl ECDH10B_0835
C4ZXT8	pgl	6PGL_ECOBW	GO:0017057; GO:0006006; GO:0006098	Escherichia coli (strain K12 / MC4100 / BW2952)	pgl BWG_0619
P52697	pgl	6PGL_ECOLI	GO:0017057; GO:0005829; GO:0006006; GO:0006098	Escherichia coli (strain K12)	pgl ybhE b0767 JW0750
B1XHL3	aaeA	AAEA_ECODH	GO:0016021; GO:0005886; GO:0055085	Escherichia coli (strain K12 / DH10B)	aaeA ECDH10B_3418
C4ZSX9	aaeA	AAEA_ECOBW	GO:0016021; GO:0005886; GO:0055085	Escherichia coli (strain K12 / MC4100 / BW2952)	aaeA BWG_2942
P46482	aaeA	AAEA_ECOLI	GO:0046942; GO:0006855; GO:0015238; GO:0016021; GO:0005886; GO:0055085; GO:0006810	Escherichia coli (strain K12)	aaeA yhcQ b3241 JW3210
C4ZSX8	aaeB	AAEB_ECOBW	GO:0016021; GO:0005886; GO:0006810	Escherichia coli (strain K12 / MC4100 / BW2952)	aaeB BWG_2941
P46481	aaeB	AAEB_ECOLI	GO:0046942; GO:0016021; GO:0005886; GO:0006810	Escherichia coli (strain K12)	aaeB yhcP b3240 JW3209
P67662	aaeR	AAER_ECOLI	GO:0003677; GO:0006352; GO:0045893; GO:0006355; GO:0003700; GO:0006351	Escherichia coli (strain K12)	aaeR yhcS b3243 JW3212
C4ZSY0	aaeX	AAEX_ECOBW	GO:0016021; GO:0005886	Escherichia coli (strain K12 / MC4100 / BW2952)	aaeX BWG_2943
B1XHL4	aaeX	AAEX_ECODH	GO:0016021; GO:0005886	Escherichia coli (strain K12 / DH10B)	aaeX ECDH10B_3419
P46478	aaeX	AAEX_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	aaeX yhcR b3242 JW5541
B1XDP2	aas	AAS_ECODH	GO:0005524; GO:0008779; GO:0006631; GO:0016021; GO:0008922; GO:0008654; GO:0005886	Escherichia coli (strain K12 / DH10B)	aas ECDH10B_3006
P31119	aas	AAS_ECOLI	GO:0005524; GO:0008779; GO:0006631; GO:0016021; GO:0008922; GO:0008654; GO:0005886	Escherichia coli (strain K12)	aas b2836 JW2804
C4ZZY9	aas	AAS_ECOBW	GO:0005524; GO:0008779; GO:0006631; GO:0016021; GO:0008922; GO:0008654; GO:0005886	Escherichia coli (strain K12 / MC4100 / BW2952)	aas BWG_2572
P00509	aspC	AAT_ECOLI	GO:0004069; GO:0009094; GO:0033585; GO:0080130; GO:0004838; GO:0005737; GO:0005829; GO:0042802; GO:0030170	Escherichia coli (strain K12)	aspC b0928 JW0911
C4ZVI3	prr	ABDH_ECOBW	GO:0033737; GO:0051287; GO:0019145; GO:0009447	Escherichia coli (strain K12 / MC4100 / BW2952)	prr BWG_1269
B1XDF5	prr	ABDH_ECODH	GO:0033737; GO:0051287; GO:0019145; GO:0009447	Escherichia coli (strain K12 / DH10B)	prr ECDH10B_1574
P77674	prr	ABDH_ECOLI	GO:0033737; GO:0051287; GO:0019145; GO:0005829; GO:0042802; GO:0009447	Escherichia coli (strain K12)	prr ydcW b1444 JW1439
P76052	abgB	ABGB_ECOLI	GO:0005737; GO:0046657; GO:0071713; GO:0046982	Escherichia coli (strain K12)	abgB ydaI b1337 JW1331 ECK1333
P77357	abgA	ABGA_ECOLI	GO:0005737; GO:0046657; GO:0071713; GO:0046982	Escherichia coli (strain K12)	abgA ydaJ b1338 JW5205
P46133	abgT	ABGT_ECOLI	GO:0016021; GO:0015814; GO:0015558; GO:0005886; GO:0015291	Escherichia coli (strain K12)	abgT ydaH b1336 JW5822 ECK1332
P77744	abgR	ABGR_ECOLI	GO:0003677; GO:0003700; GO:0006351	Escherichia coli (strain K12)	abgR b1339 JW1333
P75747	abrB	ABRB_ECOLI	GO:0016021; GO:0005886; GO:0010628	Escherichia coli (strain K12)	abrB ybgN b0715 JW5097 ECK0704
C4ZRS7	accA	ACCA_ECOBW	GO:0005524; GO:0003989; GO:0009317; GO:0006633; GO:2001295	Escherichia coli (strain K12 / MC4100 / BW2952)	accA BWG_0177
B1XD54	accA	ACCA_ECODH	GO:0005524; GO:0003989; GO:0009317; GO:0006633; GO:2001295	Escherichia coli (strain K12 / DH10B)	accA ECDH10B_0165
P0ABD5	accA	ACCA_ECOLI	GO:0005524; GO:0009329; GO:0003989; GO:0005737; GO:0005829; GO:0006633; GO:0042802; GO:0042759; GO:2001295	Escherichia coli (strain K12)	accA b0185 JW0180
P24182	accC	ACCC_ECOLI	GO:0005524; GO:0003989; GO:0004075; GO:0005737; GO:0005829; GO:0006633; GO:2001295; GO:0046872; GO:0045717	Escherichia coli (strain K12)	accC fabG b3256 JW3224
P0A9Q5	accD	ACCD_ECOLI	GO:0005524; GO:0003677; GO:0009329; GO:0003989; GO:0005829; GO:0006633; GO:0042759; GO:0003729; GO:2001295; GO:0017148; GO:0008270	Escherichia coli (strain K12)	accD dedB usg b2316 JW2313
B1X927	accD	ACCD_ECODH	GO:0005524; GO:0003989; GO:0009317; GO:0006633; GO:2001295; GO:0008270	Escherichia coli (strain K12 / DH10B)	accD ECDH10B_2478
C4ZTB5	mhpF	ACDH_ECOBW	GO:0019380; GO:0051287; GO:0008774	Escherichia coli (strain K12 / MC4100 / BW2952)	mhpF BWG_0240
P77580	mhpF	ACDH_ECOLI	GO:0019380; GO:0051287; GO:0008774	Escherichia coli (strain K12)	mhpF mhpE b0351 JW0342
P0A9G6	aceA	ACEA_ECOLI	GO:0043169; GO:0005829; GO:0006097; GO:0004451; GO:0046872; GO:0046912; GO:0006099	Escherichia coli (strain K12)	aceA icl b4015 JW3975
C5A0V3	aceK	ACEK_ECOBW	GO:0005524; GO:0008772; GO:0005737; GO:0006006; GO:0006097; GO:0004721; GO:0004674; GO:0006099	Escherichia coli (strain K12 / MC4100 / BW2952)	aceK BWG_3672
P11071	aceK	ACEK_ECOLI	GO:0016208; GO:0005524; GO:0008772; GO:0005737; GO:0006006; GO:0006097; GO:0018105; GO:0006470; GO:0004674; GO:0004722; GO:0050790; GO:0006099	Escherichia coli (strain K12)	aceK b4016 JW3976
B1XC15	aceK	ACEK_ECODH	GO:0005524; GO:0008772; GO:0005737; GO:0006006; GO:0006097; GO:0004721; GO:0004674; GO:0006099	Escherichia coli (strain K12 / DH10B)	aceK ECDH10B_4205
P0CK95	yghJ	ACFD_ECOLI	GO:0005886	Escherichia coli (strain K12)	yghJ b4466 JW5925 ECK2968
P0A6A3	ackA	ACKA_ECOLI	GO:0005524; GO:0019413; GO:0008776; GO:0006083; GO:0006085; GO:0005829; GO:0000287; GO:0016020; GO:0019542; GO:0044011; GO:0008270	Escherichia coli (strain K12)	ackA ack b2296 JW2293
P25516	acnA	ACNA_ECOLI	GO:0051539; GO:0003994; GO:0009061; GO:0005737; GO:0005829; GO:0006097; GO:0005506; GO:0003730; GO:0003729; GO:0046872; GO:0006979; GO:0006099	Escherichia coli (strain K12)	acnA acn b1276 JW1268
P36683	acnB	ACNB_ECOLI	GO:0047456; GO:0051539; GO:0003994; GO:0005829; GO:0006097; GO:0003730; GO:0003729; GO:0046872; GO:0019629; GO:0006417; GO:0006099	Escherichia coli (strain K12)	acnB yacI yacJ b0118 JW0114
P76518	yfdE	ACOCT_ECOLI	GO:0036412	Escherichia coli (strain K12)	yfdE b2371 JW2368
P21515	acpH	ACPH_ECOLI	GO:0008770; GO:0006633	Escherichia coli (strain K12)	acpH yajB b0404 JW0394
B1XEZ2	acpH	ACPH_ECODH	GO:0008770; GO:0006633	Escherichia coli (strain K12 / DH10B)	acpH ECDH10B_0360
C4ZTG1	acpH	ACPH_ECOBW	GO:0008770; GO:0006633	Escherichia coli (strain K12 / MC4100 / BW2952)	acpH BWG_0286
C4ZYI6	acpS	ACPS_ECOBW	GO:0005737; GO:0006633; GO:0008897; GO:0000287	Escherichia coli (strain K12 / MC4100 / BW2952)	acpS BWG_2327
P24224	acpS	ACPS_ECOLI	GO:0005737; GO:0006633; GO:0008897; GO:0000287; GO:0018070; GO:0016740	Escherichia coli (strain K12)	acpS dpj b2563 JW2547
P37623	acpT	ACPT_ECOLI	GO:0005829; GO:0006633; GO:0008897; GO:0019878; GO:0000287; GO:0018070	Escherichia coli (strain K12)	acpT yhhU b3475 JW3440
C4ZS34	acpP	ACP_ECOBW	GO:0000036; GO:0005737	Escherichia coli (strain K12 / MC4100 / BW2952)	acpP BWG_0942
P0A6A8	acpP	ACP_ECOLI	GO:0000036; GO:0000035; GO:0005737; GO:0005829; GO:0006633; GO:0009245; GO:0008610; GO:0031177; GO:0042493	Escherichia coli (strain K12)	acpP b1094 JW1080
B1XA04	acpP	ACP_ECODH	GO:0000036; GO:0005737	Escherichia coli (strain K12 / DH10B)	acpP ECDH10B_1166
P0AE06	acrA	ACRA_ECOLI	GO:0015721; GO:0006855; GO:0015238; GO:0042802; GO:0031226; GO:0005886; GO:0046677	Escherichia coli (strain K12)	acrA lir mtcA b0463 JW0452
P31224	acrB	ACRB_ECOLI	GO:0046618; GO:0006855; GO:0015238; GO:0015307; GO:0042802; GO:0005887; GO:0016020; GO:0005886; GO:0042493	Escherichia coli (strain K12)	acrB acrE b0462 JW0451
P24180	acrE	ACRE_ECOLI	GO:0006855; GO:0015238; GO:0031226; GO:0046677; GO:0042493	Escherichia coli (strain K12)	acrE envC b3265 JW3233
P24181	acrF	ACRF_ECOLI	GO:0016021; GO:0005886; GO:0005215	Escherichia coli (strain K12)	acrF envD b3266 JW3234
P24177	acrD	ACRD_ECOLI	GO:0046618; GO:0006855; GO:0015238; GO:0015307; GO:0016021; GO:0016020; GO:0005886; GO:0042493	Escherichia coli (strain K12)	acrD yffA b2470 JW2454
P0AAW9	acrZ	ACRZ_ECOLI	GO:0009279; GO:0036460; GO:0015238; GO:0016021; GO:0005886; GO:0046677	Escherichia coli (strain K12)	acrZ ybhT b0762 JW5102
P0ACS9	acrR	ACRR_ECOLI	GO:0008144; GO:0045892; GO:0042493; GO:0043565; GO:0003700; GO:0006351	Escherichia coli (strain K12)	acrR ybaH b0464 JW0453
P27550	acs	ACSA_ECOLI	GO:0016208; GO:0005524; GO:0045733; GO:0003987; GO:0019427; GO:0006935; GO:0005829; GO:0046872; GO:0018394; GO:0034421; GO:0050218; GO:0033558; GO:0006476	Escherichia coli (strain K12)	acs yfaC b4069 JW4030
B1XCV3	actP	ACTP_ECODH	GO:0015123; GO:0043879; GO:0005887; GO:0006814; GO:0015293	Escherichia coli (strain K12 / DH10B)	actP ECDH10B_4257
P32705	actP	ACTP_ECOLI	GO:0015123; GO:0043879; GO:0005887; GO:0005886; GO:0006847; GO:0006814; GO:0015293	Escherichia coli (strain K12)	actP yjcG b4067 JW4028
C5A160	actP	ACTP_ECOBW	GO:0015123; GO:0043879; GO:0005887; GO:0006814; GO:0015293	Escherichia coli (strain K12 / MC4100 / BW2952)	actP BWG_3781
P26646	acuI	ACUI_ECOLI	GO:0043957; GO:0005737; GO:0008270	Escherichia coli (strain K12)	acuI yhdH b3253 JW3222
P0AB65	yccX	ACYP_ECOLI	GO:0003998; GO:0009408	Escherichia coli (strain K12)	yccX b0968 JW5131
P06134	ada	ADA_ECOLI	GO:0006307; GO:0080111; GO:0003684; GO:0003908; GO:0043565; GO:0003700; GO:0006351; GO:0008270	Escherichia coli (strain K12)	ada b2213 JW2201
B1XF88	add	ADD_ECODH	GO:0004000; GO:0009117; GO:0009168; GO:0008270	Escherichia coli (strain K12 / DH10B)	add ECDH10B_1756
C4ZY85	add	ADD_ECOBW	GO:0004000; GO:0009117; GO:0009168; GO:0008270	Escherichia coli (strain K12 / MC4100 / BW2952)	add BWG_1437
P22333	add	ADD_ECOLI	GO:0006154; GO:0004000; GO:0006974; GO:0005829; GO:0046101; GO:0043103; GO:0046103; GO:0015950; GO:0032261; GO:0009168; GO:0008270	Escherichia coli (strain K12)	add b1623 JW1615
C4ZXQ7	ade	ADEC_ECOBW	GO:0006146; GO:0000034	Escherichia coli (strain K12 / MC4100 / BW2952)	ade BWG_3356
B1X998	ade	ADEC_ECODH	GO:0006146; GO:0000034	Escherichia coli (strain K12 / DH10B)	ade ECDH10B_3848
P31441	ade	ADEC_ECOLI	GO:0006146; GO:0000034; GO:0004096; GO:0008198; GO:0046101; GO:0030145; GO:0055114	Escherichia coli (strain K12)	ade yicP b3665 JW3640
P31466	adeP	ADEP_ECOLI	GO:0015207; GO:0015853; GO:0016021; GO:0005886; GO:0015992; GO:0015295	Escherichia coli (strain K12)	adeP purP yieG b3714 JW3692
P31440	adeQ	ADEQ_ECOLI	GO:0015207; GO:0015853; GO:0005887; GO:0005886	Escherichia coli (strain K12)	adeQ yicO b3664 JW5636
P37686	yiaY	ADH2_ECOLI	GO:0008743; GO:0004022; GO:0046872	Escherichia coli (strain K12)	yiaY b3589 JW5648
P0A9Q7	adhE	ADHE_ECOLI	GO:0008774; GO:0004022; GO:0015976; GO:0005829; GO:0006115; GO:0042802; GO:0016020; GO:0046872	Escherichia coli (strain K12)	adhE ana b1241 JW1228
P39451	adhP	ADHP_ECOLI	GO:0046187; GO:0004022; GO:0006974; GO:0045471; GO:0008270	Escherichia coli (strain K12)	adhP yddN b1478 JW1474
P28629	adiA	ADIA_ECOLI	GO:0006527; GO:0008792; GO:0005829; GO:0051454; GO:0030170	Escherichia coli (strain K12)	adiA adi b4117 JW5731
P60061	adiC	ADIC_ECOLI	GO:1902475; GO:0015179; GO:0015807; GO:0003333; GO:0015297; GO:1903826; GO:0015181; GO:0005887; GO:0051454; GO:0005886	Escherichia coli (strain K12)	adiC aniC yjdD yjdE b4115 JW4076
P33234	adiY	ADIY_ECOLI	GO:0000987; GO:0005829; GO:0045893; GO:0003700; GO:0006351	Escherichia coli (strain K12)	adiY b4116 JW4077
Q93K97	nudF	ADPP_ECOLI	GO:0047631; GO:0019144; GO:0005829; GO:0000287; GO:0009408	Escherichia coli (strain K12)	nudF aspP yqiE yzzG b3034 JW3002
P0AAP1	adrA	ADRA_ECOLI	GO:0005525; GO:0052621; GO:0016021; GO:0046872; GO:0005886	Escherichia coli (strain K12)	adrA yaiC b0385 JW0376
P76261	adrB	ADRB_ECOLI	GO:0006974; GO:0071111	Escherichia coli (strain K12)	adrB yoaD b1815 JW1804
P51981	ycjG	AEEP_ECOLI	GO:0071555; GO:0009063; GO:0046872; GO:0009254; GO:0016855	Escherichia coli (strain K12)	ycjG ycjH b1325 JW1318
P37127	aegA	AEGA_ECOLI	GO:0051539; GO:0005737; GO:0006537; GO:0046872; GO:0016491; GO:0016639	Escherichia coli (strain K12)	aegA yffG b2468 JW2452
P50466	aer	AER_ECOLI	GO:0042802; GO:0016021; GO:0005886; GO:0052131; GO:0004871; GO:0007165	Escherichia coli (strain K12)	aer air yqjJ b3072 JW3043
C4ZUT0	aes	AES_ECOBW	GO:0052689; GO:0005737	Escherichia coli (strain K12 / MC4100 / BW2952)	aes BWG_0357
B1XFR3	aes	AES_ECODH	GO:0052689; GO:0005737	Escherichia coli (strain K12 / DH10B)	aes ECDH10B_0432
P23872	aes	AES_ECOLI	GO:0008126; GO:0005737; GO:0016787; GO:0051346; GO:0043433; GO:0034338	Escherichia coli (strain K12)	aes ybaC b0476 JW0465
P39180	flu	AG43_ECOLI	GO:0009279; GO:0009986; GO:0005576; GO:0016021; GO:0042597	Escherichia coli (strain K12)	flu yeeQ yzzX b2000 JW1982
P42906	agaA	AGAA_ECOLI	GO:0006146; GO:0000034; GO:0005975; GO:0046101	Escherichia coli (strain K12)	agaA b3135 JW5527
P42912	agaI	AGAI_ECOLI	GO:0006044; GO:0005975; GO:0043877; GO:0004342	Escherichia coli (strain K12)	agaI yraG b3141 JW3110
P06720	melA	AGAL_ECOLI	GO:0070403; GO:0004557; GO:0005829; GO:0030145; GO:0005995; GO:0016616; GO:0052692	Escherichia coli (strain K12)	melA mel-7 b4119 JW4080
P0ACK2	agaR	AGAR_ECOLI	GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006351	Escherichia coli (strain K12)	agaR yhaW b3131 JW3100
P42907	agaS	AGAS_ECOLI	GO:0030246; GO:0005975; GO:0016861	Escherichia coli (strain K12)	agaS yraB b3136 JW3105
P19926	agp	AGP_ECOLI	GO:0016158; GO:0003993; GO:0016311; GO:0006007; GO:0008877; GO:0030288	Escherichia coli (strain K12)	agp b1002 JW0987
P0AE08	ahpC	AHPC_ECOLI	GO:0009321; GO:0009970; GO:0005737; GO:0005829; GO:0032843; GO:0042802; GO:0033214; GO:0016020; GO:0016684; GO:0004601; GO:0051920; GO:0033195; GO:0033194	Escherichia coli (strain K12)	ahpC b0605 JW0598
P35340	ahpF	AHPF_ECOLI	GO:0071949; GO:0051287; GO:0070402; GO:0008785; GO:0009321; GO:0045454; GO:0005829; GO:0009055; GO:0050660; GO:0015035; GO:0000302	Escherichia coli (strain K12)	ahpF b0606 JW0599
P27250	ahr	AHR_ECOLI	GO:0008106; GO:0006631; GO:0008270	Escherichia coli (strain K12)	ahr yjgB b4269 JW5761
P33224	aidB	AIDB_ECOLI	GO:0003677; GO:0006974; GO:0005737; GO:0009055; GO:0033539; GO:0000062; GO:0050660; GO:0008470; GO:0055088; GO:0045892; GO:0052890; GO:0043565	Escherichia coli (strain K12)	aidB b4187 JW5867
C4ZU94	ais	AIS_ECOBW	GO:0008653; GO:0042597; GO:0016791	Escherichia coli (strain K12 / MC4100 / BW2952)	ais BWG_2025
B1X8W5	ais	AIS_ECODH	GO:0008653; GO:0042597; GO:0016791	Escherichia coli (strain K12 / DH10B)	ais ECDH10B_2412
P45565	ais	AIS_ECOLI	GO:0008653; GO:0042597; GO:0016791	Escherichia coli (strain K12)	ais pmrG b2252 JW2246
P00561	thrA	AK1H_ECOLI	GO:0005524; GO:0050661; GO:0016597; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0009088	Escherichia coli (strain K12)	thrA thrA1 thrA2 b0002 JW0001
P00562	metL	AK2H_ECOLI	GO:0005524; GO:0050661; GO:0004072; GO:0005829; GO:0009090; GO:0004412; GO:0009089; GO:0009086; GO:0009088	Escherichia coli (strain K12)	metL metM b3940 JW3911
P08660	lysC	AK3_ECOLI	GO:0005524; GO:0016597; GO:0004072; GO:0005829; GO:0009090; GO:0009089	Escherichia coli (strain K12)	lysC apk b4024 JW3984
P77434	alaC	ALAC_ECOLI	GO:0030632; GO:0019272; GO:0004021; GO:0006523; GO:0005737; GO:0030170; GO:0008483	Escherichia coli (strain K12)	alaC yfdZ b2379 JW2376
P0A959	alaA	ALAA_ECOLI	GO:0030632; GO:0019272; GO:0004021; GO:0006523; GO:0006974; GO:0005737; GO:0030170; GO:0046677; GO:0008483	Escherichia coli (strain K12)	alaA yfbQ b2290 JW2287
P64550	alaE	ALAE_ECOLI	GO:0034639; GO:0032973; GO:0016021; GO:0005887; GO:0005886	Escherichia coli (strain K12)	alaE ygaW b2670 JW2645
P25553	aldA	ALDA_ECOLI	GO:0042355; GO:0005829; GO:0050569; GO:0008911; GO:0019301; GO:0004777; GO:0009013	Escherichia coli (strain K12)	aldA ald b1415 JW1412
P37685	aldB	ALDB_ECOLI	GO:0004029; GO:0006974; GO:0016491; GO:0045471	Escherichia coli (strain K12)	aldB yiaX b3588 JW3561
P0A991	fbaB	ALF1_ECOLI	GO:0005829; GO:0004332; GO:0006096; GO:0042802; GO:0016020	Escherichia coli (strain K12)	fbaB dhnA b2097 JW5344
P0AB71	fbaA	ALF_ECOLI	GO:0005829; GO:0004332; GO:0006096; GO:0008270	Escherichia coli (strain K12)	fbaA fba fda b2925 JW2892
P0A955	eda	ALKH_ECOLI	GO:0008675; GO:0008700; GO:0005829; GO:0042802; GO:0016020	Escherichia coli (strain K12)	eda hga kdgA b1850 JW1839
P05050	alkB	ALKB_ECOLI	GO:0006307; GO:0080111; GO:0006281; GO:0043734; GO:0042245; GO:0051747; GO:0051213; GO:0008198; GO:0035515; GO:0070989; GO:0035552; GO:0035553	Escherichia coli (strain K12)	alkB aidD b2212 JW2200
B1XFU0	allA	ALLA_ECODH	GO:0000256; GO:0006145; GO:0004848; GO:0050385	Escherichia coli (strain K12 / DH10B)	allA ECDH10B_0461
C4ZUV5	allA	ALLA_ECOBW	GO:0000256; GO:0006145; GO:0004848; GO:0050385	Escherichia coli (strain K12 / MC4100 / BW2952)	allA BWG_0382
P77731	allA	ALLA_ECOLI	GO:0000256; GO:0006145; GO:0004848; GO:0050385	Escherichia coli (strain K12)	allA glxA2 ybbT b0505 JW0493
C4ZUW1	allB	ALLB_ECOBW	GO:0000256; GO:0004038; GO:0050897; GO:0006144; GO:0008270	Escherichia coli (strain K12 / MC4100 / BW2952)	allB BWG_0388
P77671	allB	ALLB_ECOLI	GO:0009442; GO:0004038; GO:0050897; GO:0005737; GO:0006144; GO:0008270	Escherichia coli (strain K12)	allB glxB3 ybbX b0512 JW0500
B1XGB0	allB	ALLB_ECODH	GO:0000256; GO:0004038; GO:0050897; GO:0006144; GO:0008270	Escherichia coli (strain K12 / DH10B)	allB ECDH10B_0468
P77425	allC	ALLC_ECOLI	GO:0047652; GO:0009442; GO:0030145; GO:0006144	Escherichia coli (strain K12)	allC glxB7 ylbB b0516 JW0504
P77555	allD	ALLD_ECOLI	GO:0009442; GO:0005737; GO:0006144; GO:0009040	Escherichia coli (strain K12)	allD glxB8 ylbC b0517 JW0505
P75713	allE	ALLE_ECOLI	GO:0005737; GO:0030145; GO:0006144; GO:0071522	Escherichia coli (strain K12)	allE glxB6 ylbA b0515 JW0503
P75712	ybbW	ALLP_ECOLI	GO:0016021; GO:0015205; GO:0015851; GO:0005886; GO:0006144	Escherichia coli (strain K12)	ybbW glxB2 b0511 JW0499
P0ACN4	allR	ALLR_ECOLI	GO:0003677; GO:0006974; GO:0005829; GO:0042802; GO:0045892; GO:0032993; GO:0003700; GO:0006351	Escherichia coli (strain K12)	allR glxA3 ybbU b0506 JW0494
P0ACR0	allS	ALLS_ECOLI	GO:0045893; GO:0043565; GO:0003700; GO:0006351	Escherichia coli (strain K12)	allS glxA1 ybbS b0504 JW0492
P33997	alpA	ALPA_ECOLI	GO:0003677; GO:0045893; GO:0019038; GO:0044010; GO:0006351	Escherichia coli (strain K12)	alpA alp b2624 JW2604
P0A6B4	alr	ALR1_ECOLI	GO:0030632; GO:0008784; GO:0071555; GO:0009252; GO:0030170; GO:0008360	Escherichia coli (strain K12)	alr b4053 JW4013
P29012	dadX	ALR2_ECOLI	GO:0006522; GO:0008784; GO:0030170	Escherichia coli (strain K12)	dadX alnB dadB b1190 JW1179
P32720	alsC	ALSC_ECOLI	GO:0016021; GO:0015145; GO:0015749; GO:0005886	Escherichia coli (strain K12)	alsC yjcV b4086 JW4047
P32719	alsE	ALSE_ECOLI	GO:0019316; GO:0034700; GO:0044262; GO:0005829; GO:0046872; GO:0019323; GO:0009052; GO:0004750	Escherichia coli (strain K12)	alsE yjcU b4085 JW4046
P32721	alsA	ALSA_ECOLI	GO:0005524; GO:0042882; GO:0015612; GO:0005886	Escherichia coli (strain K12)	alsA yjcW b4087 JW4048
P32718	alsK	ALSK_ECOLI	GO:0005524; GO:0019316; GO:0008787; GO:0046835; GO:0004340; GO:0051156	Escherichia coli (strain K12)	alsK yjcT b4084 JW5724
P39265	alsB	ALSB_ECOLI	GO:0016021; GO:0016020; GO:0015145; GO:0015749; GO:0030288; GO:0005886	Escherichia coli (strain K12)	alsB yjcX b4088 JW4049
P42601	alx	ALX_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	alx ygjT b3088 JW5515
P36548	amiA	AMIA_ECOLI	GO:0008745; GO:0071555; GO:0030288; GO:0009253; GO:0042597	Escherichia coli (strain K12)	amiA yfeE b2435 JW2428
P26365	amiB	AMIB_ECOLI	GO:0008745; GO:0071555; GO:0030288; GO:0009253	Escherichia coli (strain K12)	amiB yjeD b4169 JW4127
P63883	amiC	AMIC_ECOLI	GO:0043093; GO:0008745; GO:0071555; GO:0030288; GO:0009253; GO:0042597	Escherichia coli (strain K12)	amiC ygdN b2817 JW5449
P75820	amiD	AMID_ECOLI	GO:0009392; GO:0008745; GO:0009279; GO:0071555; GO:0019867; GO:0009253; GO:0009254; GO:0008270	Escherichia coli (strain K12)	amiD ybjR b0867 JW0851
P0AE12	amn	AMN_ECOLI	GO:0008714; GO:0044209; GO:0005829	Escherichia coli (strain K12)	amn b1982 JW1963
P46883	tynA	AMO_ECOLI	GO:0006559; GO:0052595; GO:0052594; GO:0005509; GO:0005507; GO:0055114; GO:0042597; GO:0052596; GO:0019607; GO:0008131; GO:0048038; GO:0052593	Escherichia coli (strain K12)	tynA maoA b1386 JW1381
C4ZRD1	pepA	AMPA_ECOBW	GO:0004177; GO:0005737; GO:0030145; GO:0008235	Escherichia coli (strain K12 / MC4100 / BW2952)	pepA BWG_3966
B1XEN9	pepA	AMPA_ECODH	GO:0004177; GO:0005737; GO:0030145; GO:0008235	Escherichia coli (strain K12 / DH10B)	pepA ECDH10B_4453
P68767	pepA	AMPA_ECOLI	GO:0003677; GO:0004177; GO:0005737; GO:0030145; GO:0008235; GO:0045892; GO:0043171; GO:0006276; GO:0042150; GO:0031564; GO:0001073; GO:0006351	Escherichia coli (strain K12)	pepA carP xerB b4260 JW4217
P00811	ampC	AMPC_ECOLI	GO:0017001; GO:0008800; GO:0030288; GO:0046677	Escherichia coli (strain K12)	ampC ampA b4150 JW4111
P13016	ampD	AMPD_ECOLI	GO:0008745; GO:0071555; GO:0005737; GO:0046872; GO:0009253; GO:0009254	Escherichia coli (strain K12)	ampD b0110 JW0106
P0AE14	ampE	AMPE_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	ampE b0111 JW0107
P0AE16	ampG	AMPG_ECOLI	GO:0016021; GO:0005886; GO:0055085	Escherichia coli (strain K12)	ampG b0433 JW0423
P0AD70	ampH	AMPH_ECOLI	GO:0004180; GO:0071555; GO:0004175; GO:0008658; GO:0009253; GO:0005886; GO:0008360	Escherichia coli (strain K12)	ampH yaiH b0376 JW5052
P04825	pepN	AMPN_ECOLI	GO:0004177; GO:0042802; GO:0008237; GO:0043171; GO:0005886; GO:0008270	Escherichia coli (strain K12)	pepN b0932 JW0915
